file,transcription
raw-2.pdf_page_19.jpg,"ABISADO. Vide Aulado, podría valer Y.afsi leentiende aquel lazar del Pllno. y1.
lo mel.no que profundo; de la pulabraabyilus: do yjos 407) 41m Ín99.003 10 vw cota taraciaróro Cs
y el amfado, cs de profundo entendimiénco ¿y ren. On3ata exrcrlfa rta fe tus tt; funer me tran-
cala las cofas, ydefcubre con Le fulerciamucho  ferinr, ' lin perjuizio de lis demas expoficio-
CAMPO. | po es; por fer muchas las que ay lobre ete verlo.

ADIÍ S Á G,es el nombre de 4quella hermo- abres 4 vi vr. iia sat, Wide cominenta-11 Syin-
ía, y honeíta donzella q erayeron a Dauidguan — bolica Bra 1ahr. verbo Abvtlus , Grace ansias
do ya eftava muy viejo, y no podia tomar cálorz aqui, que anemmon haber, compuefio de» pri-
para que durmizndo en fu camaldo calentafles — vanua, y (51) s,quees fundan, ina pars. |
1ib,3 Reguncip.r. ÓN - ABISMALES , fon los clauos de la

A BLE, del Latino habilis, apris, ¡doneus. langa con que fe fixa el hierro en cl hafta, y por
Abilidad. vale difoolición, capaGidad ; yapri-  Entrartan profundos que pa:fan de parte 2 par-
zud. -Abilivar, hazeráono capas de logneno te, fellimaron Abiínales . es nombre Arabi-
era antes. Inibilicar, dar por ¡nabil a alguno pa yo,fegun Francifco Lovz1¿ Ta n2-íd.
ra algun oficio, exercicio,o accion. Indvil,inep-  ABISPA, del Lacin> Velpa, infetum
tus. o 22 wvolucre, apifivilo: icaditun, quod vefoerí

A BIL A,íeu Abyla (oy dia llaman los Mo — mufcas venzcurin cibu n: y fezun li cti nologra
ros aeftaricrra Alcudia) es vn monte dela par-  Larina,, hemos de cfcciuir ete nombre conu.
tede Africa, que refponde a ótro que cita en 2mwfp2 , vido Plín. lb, 21, cap. 21. Eltar vño
Efpaña dicho Calvo, puetos enel eltrecho;que Abilpado,cs lo metno que éftar picado, y lenti-

A TE E A Y 5 A A. AA A O. A A AS, A a"
raw-2.pdf_page_33.jpg,"de la ropa, cómo bulrer lo «e adentro 2uera, ADESOKAS, Latin? (rbicd, reronió;
masadenrro , as en lo profundo, Anton, Nebrif. comanmente dezimos, Y cnje

ADEFESIOS,muchotiempo me dio cui- vna perfonaa deshoras, que ndo yieñe a ciempo
dado él averiguar, que fundamento pudo rener  defacomodado: como dezimos, avermos yeni-
vn proverbio comun , quando vno dize aJguna  doyn huelpeda deshoras, quando fin c[perarle
cola que noquádra, ni viene a propofito, yno  vicne, ó defpues de comer, o de cenar,ó 4 la nie-
hallo ocro fuera del que diré. Huvoentre los dia noche quando no ay cofa aderegadá que dar-
Efelios vn varon conflumado en virtud, lerras, le: y tambien quando 17 perfona que viene no
y valor de animo ; llamado Hermodoro. (Vide  previno,y llega fin que la efperen: y de qualyte
Plin. Lib. 24. capic. 5: Srrab, lib. 14.) y con  racofa que fuceda á calo y fubitamente fin efpe-
fus buenas ¡»artes ganó ran gran opinionen fu rarla,dezimosaver fucedido 4 deshoras, y el adef
Republica, quee"" Pueblo le refpetaya, y obede- horas vale tanto como fuera de horas, porquec)
cla con tanta veneración , que engendro embi- des vale lo melmo que pr:eter. .
lía én los animos de los demas que prerendian ADESTRAR, eutar alguno , llevan""
eñorear, y eiranizar la Pacría ; y a elta caufade-  dole de la dieftra,Ó porque es ciego,ó porque va
'erminaron calumniarle, y disfamarle publican- por lugar obícuro quetl no haandado : y det-
lo tratava algarle con ella; y perluadieró al Pne  tronllama.nos a1 moco del ciego por efta razon,
lo legxecuráfieen el la ley del Ortrazibno;de  Valecnotralignificacion advertir, aconfejar,eh
a qual víayan os Arenienfes, defterranco por leñar al que vaen algun negocio 2 tiento comó,
la a losmas virruofos, y valerofos, cobrando-  ciezxo,"
raw-2.pdf_page_18.jpg,"corsa, 25 Socizs fer mmiono a Y otra letra, Socios  Pierodis, Regis Tedee Secevdos quidan , nonire:
fiiabas vlole. Eluas capoco 13. nan, 21. Sefre- Zacharias de vice Abia, ¡id eft, de la hebdornuiada,
quij-ont Dibeibla, Pireo tirarte domos tora drá, O femanacn que ferura en cl tumplo el Sacerdo-
combos 2 naiabitibs ¡irurniones. Ercapite34. te, lamade Abia ; pero en el Teframento vie-
pun. 17. Esdtcubile lrscouun, 27 pa cua firstalo.  ¡oay muchos defte nombre. El hijo fegundo de
mn. Et capire 47. nun, 20, Gloritcavumebejtia Samuel Resum lib. 1. cap. $. otro lijo” del
azyi,descones , 7 firurlyiames. leremias capite 50. Rey leroboan Regum 3. cap. 14: 1ntempore ¿llo
nun. 29, Droprerna habirabont draconts , cum fat egrotanii Abla filros Ieroboam: . y los demas , que
nisiortirgs, brrirabentin es frarhiones, En los porno caníar no refiero aqui.
mis d: tos layares encienden uruchos de los Ex ABIATH A R)Parer excellens, aut pater
Poliozes tomarle los citrutrones por los de-  refidu, velremanentis, Íime pater explorario»»
moros. Y en aquel lugar Threnorum capice mis , vel contemplatioms , aut pater funicula,
zo hual. 2. 804, €7 lame tudaserent mamar, fue hijo de Achimelech facerdore lib.1.Regum
laico rat catulis fr105 > (lia popult mel crviclos, Cap. 22. Po, |
cusfi flruthio in deferro. Parece aludira do que ABY DO, vna Ciudad de Aña, la qual efta
tencmos dicho de que ponce los hueuos , y no  Oopuefta enfrente de orra dicha Sefto , interpo-
cura de ampollarlos,conforme a a opinion del  niendofe entre las dos vn eftrecho mar , que
vulo., por el poco, ó ningun amor que tiencá: porauer2ahogadofe en el vna donzella dicha
fiorolecontra la inclinacion de todos los de- —Heles. tomo el nombre de Hhclefpento. el qual"
raw-2.pdf_page_24.jpg,"ACOGER>5tecibirenti, 0 en lu cala, y
morada: como el que acoge huelpedes. Ácoger,
recebis con antor , y COrrciia,

ACOGERS3E, tlcaparfe , y ponerfe en
falvo. Atovida , el hofpedage. Acogiímicnto,
fienitica lo mefino : y Cl amórofo, y cortés trato
c5n cl que vienc a hablarnos. Ácoyrar,en len-
gua antiga Caftellana vale procurar, |

ACOGOTAR, matar eon golpe que le
dí enel dogote, como ordinariamente fe matan
lá4s refes mayores. | |

ACOLITO, yno de los miniftros que fir-
venal Alrár , y fuOrdenes la fuverior en las
quatró menores. Esñnombre Griego Aceluthos,
confequens, confentaneus, 2fetaror , comes,
puer, suniorminiítrans in rebus corporis. Y pa-
ra venir defte nombre, aviafe de clcrivir con th,
4colichó. Pero lo más cierto es del nombre +10"
raw-2.pdf_page_10.jpg,"crrego mas qué vn íololibrocon el orginalal Autor ,O perfena a cuy
cotado imprimiero, ni otra alguna, por cfcéto dela dicha correccion, y ta
la nafta qnep imero el dicho libro efte corregido, y talado por los de «
Contejo, y eftando hecho, y node otra manera, mandamos imprima «
dizko libro, y principio, y primer pliego del, y fucelsivamente ponga efta C
dula,y la aprobacion talfa,y erratas,pena de caer, € incurrir en las pena
cortemidiseniasleyes,y Pregmaricasdeftos Reynos, y mandamos a losd
e Confojo, y demasluezes,y Iufticiasde ellos,que guarden efta Cedula,
lx» cnzMa contepido ,finconfentr, nidar lugar fe vaya , ni palíe en maner
alguna, Fecha cn Madrid a le1s dias del mesde Iulo de mil y feifcientos :
lecrenta y dus años, | |"
raw-2.pdf_page_3.jpg,"CENSV
GE! RA Dr
PEDRO DE VALENCIA CORONISTA

General de el Rey nueítro

Senor. 0
Or mandado del Confejo Supremo de Cafilla, he viíto el libro in-
ticulado, Teforo de la lengua Caftellana, que computo el Licen-
clado Don Sedaltian ae Couarruuras y Orozco , Canonigo ; y Macftef-
cucla dela Iglefia de Cuenca ¿ Confultor de el Santo Oficio de la Inquili-
cion, y Capelan deífu Mageftad , y nohe hallado en cl cofa contraria a"
raw-3.pdf_page_13.jpg,"doña Beatriz de Silua madre de lacinto Gomez

mas qué los contenidos en dicha parució, por Cue
las dus deularacionesque.hazen los Contadores
ai fiadetila, La vna,deque li Antonio Gomez fe.
quiliereicacargar de la cobranca delos 1 15pgu00
eaies que montan las deudas cobrables,fe le ayan.
de farrsfazer los saltos: efta cantidad esla miíma
que va partida entre los herederos, y lu padre, y de
que te.componen las legirimas. Y la Otra en que di
Ze 1,qu edido CO brare al 20 de 3 91 reales que 10m por
tarrlas ditas perdidasile aya de partirentre loshere"
raw_1.pdf_page_13.jpg,"oa ""e coros TY r- N ""DJ Q AY T 140,1 Toe
ESeT*Y TOY «sos SS EPA LCO 02 E 0
< qe! $ ss a A y pur O, Y 0
Y . NS Eg Q QED00D 2». 1 «EU
ÁS '<l a POD GRO Q. > U O DT ""y
.OonSx $ 430=52N0 u 3 na SD U
2353 Epi Bos ECLERRED >
U . e o
038% «sE goBs SENA ss
Ey TOUR ¿AA e OREA
UB 0% Es ios UU” yEQDQ0o cc” YQ
QS vu uv 5%o U QQSouvs3<cE E ns,
a va y «y > Qee SD 5 e ""3 UU Y» 3 «Y e ?
Rh 1) Uv = 7, = L.n anu n a HoY
e A, a D q o q == 23ousSso0o<.-< EMOS
22 ""35008802 4 30=""D*25"" ERA A,
Ny 39 O a o RO o Y VU El SY Noe
AR AR AR
BOSS 030 FE"" 03T9a0%20%
52392 23D Oe 390 >:
SS Pe 003.08 > P903I3IZESUIS “QA 3SIERZÉE SOS
Sn. UI, 3 des y BURN AS
SISTE .SE7ES> 2 Ena S 3100.03 77
ba ==] CG. mé DD O Ry e» 4 ¡Sun o= Y A ""RU a.
$ o. ASNO. 277 q. 2 U ADE AO O'
eS. o :Q2%330G 02,730 bdo 02E25304e2
Y MY PRESA) Vo AO rs Ori “OT he > nn 331£. O mn 0"
raw-3.pdf_page_7.jpg,"Petr banal. refol. cri. 2 9 y num. 95. Lo qual le.
dcue guardarcon masrazon eneíte cafo , por fer
el deiicodela calidad referida, y la efcrirura no có

ener Enagenació,ni donacion,(no moderació de
yna carta de pago q anresaula dado: y vna libera
cion, 0 carta de pago en favor de Antonio Gomez
Su padre, de Íicte mil, y quinientosreales, y nara
tificacion de las demas castas de pago antes delta,
y decideitto otorgadas,con las quales eftaua el di

choín pagre lulicientermentereleuardado, para Q"
raw-2.pdf_page_31.jpg,"tierra pocelana, Ó mala de ladrillos n:olidos
con mezcla de cal, y orros materiales, que incor:
porados hazch corteza, y defpiden cl agua tacil.
mente. El Italiano le llama tetto piano , a dite-
rencia del que cftá con texas. El Padre Guadix
dize ler nombre Arabrgo de zats, quetigninca
folariun , y afsi por otro riombre le llamamos
(olana. o
ACVQVYEICA, cierto pago no lexos de
la ciudad de Poledo. Dize el Padre Guadix fer
nombre ÁArabizo , dininucivo de azequía ; y alst
teninicara lugar de regadio que fe riega con mu-
chas azequias pequeñas: OS
ADAGIO,es lo mebno que proverbio,
onvienea faber, vna fentenci: breve, acomoda -
la, y traida a propofito , recibida de codos , que
e nele aplicará diverfis ocafiones. Latin. ada-
am. glj. Se apud anciquos adagio. nis. dixofb
dagium, qual circun agua 3 porque anda de
»0ca2 en boca derodos. Es propiamente lo que"
