id,source,noisy_text,clean_text,edit_distance,document_type,error_rate
real_0000,real_ocr,A a,dad.,3,print_17th_century_spanish,0.75
real_0001,real_ocr,INFINITAMENTE Al,INFINITAMENTE AMABLE,4,print_17th_century_spanish,0.2
real_0002,real_ocr,"Vos , Dulcifsimo Niño","A Vos, Dulcissimo Niño",2,print_17th_century_spanish,0.091
real_0003,real_ocr,A isonalieis de llamaros 18 -,dignasteis de llamaros,8,print_17th_century_spanish,0.364
real_0004,real_ocr,"| Doétor de los Niños, pr","Doctor de los Niños,",4,print_17th_century_spanish,0.2
real_0005,real_ocr,fino tambien de aísil- *,sino también de assis-,5,print_17th_century_spanish,0.227
real_0006,real_ocr,"ir como Niño entre los Doctores,","tir como Niño entre los Doctores,",1,print_17th_century_spanish,0.03
real_0007,real_ocr,fe confarca humilde efla pequeña,se consagra humilde esta pequeña,6,print_17th_century_spanish,0.188
real_0008,real_ocr,"Inftruccion de los Niños. Es afsi,","Instrucción de los Niños. Es assi,",3,print_17th_century_spanish,0.088
real_0009,real_ocr,que ella tambien fe dirige a la ju-,que ella también se dirige a la ju-,2,print_17th_century_spanish,0.057
real_0010,real_ocr,"ventud ; pero a elta, como recuer-","ventud; pero a esta, como recuer-",1,print_17th_century_spanish,0.03
real_0011,real_ocr,"do de lo que aprendió, alos Nis","do de lo que aprendió, a los Ni-",1,print_17th_century_spanish,0.031
real_0012,real_ocr,"¡os , como precifa explicacion de","ños, como precisa explicacion de",2,print_17th_century_spanish,0.062
real_0013,real_ocr,lo que deben eftudiar. Por eíté fo-,lo que deben estudiar. Por este so-,4,print_17th_century_spanish,0.114
real_0014,real_ocr,logritulo: es. muy vuefítra ¿ «y por,lo titulo es muy vuestra; y por,8,print_17th_century_spanish,0.258
real_0015,real_ocr,fer para Niños . que confiais á la,"ser para Niños, que confiais a la",3,print_17th_century_spanish,0.091
real_0016,real_ocr,"educacion de vueítra Compañia,","educacion de vuestra Compañia,",1,print_17th_century_spanish,0.033
real_0017,real_ocr,"lo es mucho mas. En Vos, ( Divi-","lo es mucho mas. En Vos, (Divi-",0,print_17th_century_spanish,0.0
real_0018,real_ocr,rió Exemplar de todas las virtus,no Exemplar de todas las virtu-,4,print_17th_century_spanish,0.129
